Mean of FeTA Vienna dataset,0.729,0.781,0.695,0.729,888588.8,-156.89
Std Dev of FeTA Vienna dataset,0.243,0.275,0.216,0.243,685782.317,232.755
Mean of FeTA Vienna dataset,0.656,0.91,0.567,0.656,731927.5,-313.551
Std Dev of FeTA Vienna dataset,0.286,0.11,0.299,0.286,646328.752,268.146
Mean of FeTA Vienna dataset,0.683,0.752,0.661,0.683,898313.6,-147.165
Std Dev of FeTA Vienna dataset,0.261,0.263,0.251,0.261,720948.285,286.262
Mean of FeTA Vienna dataset,0.121,0.079,0.371,0.121,5481804.4,4436.326
Std Dev of FeTA Vienna dataset,0.104,0.071,0.268,0.104,986588.495,1185.762
Mean of FeTA Vienna dataset,0.71,0.854,0.62,0.71,771447.2,-274.031
Std Dev of FeTA Vienna dataset,0.215,0.192,0.227,0.215,678685.157,282.623
Mean of FeTA Vienna dataset,0.682,0.761,0.674,0.682,969441.3,-76.037
Std Dev of FeTA Vienna dataset,0.32,0.265,0.323,0.32,810464.59,137.499
Mean of FeTA Vienna dataset,0.577,0.527,0.714,0.577,1282377.3,236.899
Std Dev of FeTA Vienna dataset,0.288,0.294,0.256,0.288,840237.508,236.498
